"";"season";"session";"nest";"group";"total_neglected_seconds";"number_of_neglect_events";"average_neglect_duration";"uCode";"NI";"Rank"
"242";2025;"incubation3";"A20_4";"complete";0;0;0;"A20_4_incubation3_25";0;208
"243";2025;"incubation3";"D15_11";"complete";44;2;22;"D15_11_incubation3_25";1,08;191
"244";2025;"incubation3";"D15_6";"complete";249;2;124,5;"D15_6_incubation3_25";5,48;127
"245";2025;"incubation3";"D17_16";"complete";0;0;0;"D17_16_incubation3_25";0;208
"246";2025;"incubation3";"D17_8";"complete";50;2;25;"D17_8_incubation3_25";1,23;188
"247";2025;"incubation3";"D21_1";"complete";52;1;52;"D21_1_incubation3_25";2,04;175
"248";2025;"incubation3";"D22_17";"complete";0;0;0;"D22_17_incubation3_25";0;208
"249";2025;"incubation3";"J24_1";"complete";0;0;0;"J24_1_incubation3_25";0;208
"250";2025;"incubation3";"K16_4";"complete";1645;5;329;"K16_4_incubation3_25";16,73;68
"251";2025;"incubation3";"K19_22";"complete";1433;4;358,25;"K19_22_incubation3_25";16,37;70
"252";2025;"incubation3";"K19_31";"complete";0;0;0;"K19_31_incubation3_25";0;208
"253";2025;"incubation3";"K20_8";"complete";0;0;0;"K20_8_incubation3_25";0;208
"254";2025;"incubation3";"K21_28";"complete";41;2;20,5;"K21_28_incubation3_25";1,01;194
"255";2025;"incubation3";"K8";"complete";111;1;111;"K8_incubation3_25";4,09;146
"256";2025;"incubation3";"W20";"complete";85;1;85;"W20_incubation3_25";3,22;158
"257";2025;"incubation3";"W40";"complete";0;0;0;"W40_incubation3_25";0;208
"258";2025;"incubation3";"W41J";"complete";0;0;0;"W41J_incubation3_25";0;208
"259";2025;"incubation3";"Y23_1";"complete";22;2;11;"Y23_1_incubation3_25";0,55;203
