"Season";"session";"Nest";"group";"total_neglected_seconds";"number_of_neglect_events";"average_neglect_duration";"uCode";"NI";"Rank";"Lay_day";"Hatch_day";"mean_date";"Julian_Date_point";"Incubation_Duration";"Days_to_Hatch"
"2023";"incubation2";"K20_17";"complete";1638;6;273;"K20_17_incubation2_23";15,74;72;NA;198;2023-07-03 00:21:07.5;184;NA;14
"2023";"incubation2";"K20_8";"complete";138;2;69;"K20_8_incubation2_23";3,22;157;NA;195;2023-07-03 00:04:25;184;NA;11
"2023";"incubation2";"W40";"complete";711;2;355,5;"W40_incubation2_23";12,9;75;NA;195;2023-07-03 00:07:45;184;NA;11
"2023";"incubation2";"W41J";"complete";0;0;0;"W41J_incubation2_23";0;208;NA;195;2023-07-03 00:05:50;184;NA;11
"2023";"incubation3";"101";"complete";1972;2;986;"101_incubation3_23";25,41;41;NA;194;2023-07-11 01:06:50;192;NA;2
"2023";"incubation3";"113_10";"complete";106;2;53;"113_10_incubation3_23";2,52;168;NA;193;2023-07-11 00:16:35;192;NA;1
"2023";"incubation3";"11_58";"complete";265;2;132,5;"11_58_incubation3_23";5,79;125;NA;198;2023-07-11 00:34:27.5;192;NA;6
"2023";"incubation3";"12_16";"complete";67739;4;16934,75;"12_16_incubation3_23";86,57;2;NA;195;2023-07-11 01:03:02.5;192;NA;3
"2023";"incubation3";"14_10M";"complete";0;0;0;"14_10M_incubation3_23";0;208;NA;194;2023-07-11 01:09:12.5;192;NA;2
"2023";"incubation3";"A20_4";"complete";32129;3;10709,6666666667;"A20_4_incubation3_23";73,86;9;NA;195;2023-07-11 00:53:45;192;NA;3
"2023";"incubation3";"K19_19";"complete";9300;8;1162,5;"K19_19_incubation3_23";39,67;21;NA;198;2023-07-11 00:45:37.5;192;NA;6
"2023";"incubation3";"K20_15";"complete";60;2;30;"K20_15_incubation3_23";1,46;186;NA;194;2023-07-11 00:02:00;192;NA;2
"2023";"incubation3";"K20_17";"complete";1389;10;138,9;"K20_17_incubation3_23";12,02;86;NA;198;2023-07-11 00:40:27.5;192;NA;6
"2023";"incubation3";"K20_8";"complete";52971;3;17657;"K20_8_incubation3_23";84,4;6;NA;195;2023-07-11 00:26:15;192;NA;3
"2023";"incubation3";"K21_37";"complete";0;0;0;"K21_37_incubation3_23";0;208;NA;195;2023-07-11 00:30:11.5;192;NA;3
"2023";"incubation3";"W40";"complete";421;6;70,1666666666667;"W40_incubation3_23";5,29;130;NA;195;2023-07-11 00:19:55;192;NA;3
"2023";"incubation3";"W41J";"complete";4000;2;2000;"W41J_incubation3_23";36,92;25;NA;195;2023-07-11 00:23:40;192;NA;3
"2025";"incubation1";"101";"complete";2991;6;498,5;"101_incubation1_25";23,38;48;162;192;2025-06-16 11:35:12.5;167;30;25
"2025";"incubation1";"113_10";"complete";0;0;0;"113_10_incubation1_25";0;208;164;193;2025-06-27 12:26:19.5;178;29;15
"2025";"incubation1";"113_1A";"complete";1435;4;358,75;"113_1A_incubation1_25";16,39;69;164;194;2025-06-18 11:28:55.5;169;30;25
"2025";"incubation1";"12_16";"complete";6171;7;881,571428571429;"12_16_incubation1_25";33,59;31;169;199;2025-06-23 15:01:00.5;174;30;25
